"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T15:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T15:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T15:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T15:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T15:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T15:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T16:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T16:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T16:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T16:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T16:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T16:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T17:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T17:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T17:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T17:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T17:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T17:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T18:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T18:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T18:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T18:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T18:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T18:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T19:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T19:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T19:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T19:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T19:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T19:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T20:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T20:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T20:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T20:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T20:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T20:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T21:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T21:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T21:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T21:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T21:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T21:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T22:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T22:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T22:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T22:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T22:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T22:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T23:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T23:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T23:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T23:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T23:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T23:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T00:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T00:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T00:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T00:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T00:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T00:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T01:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T01:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T01:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T01:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T01:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T01:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T02:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T02:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T02:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T02:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T02:40:00+01:00";null
