date,value
1908-01-31T23:40:28Z,-0.36
1908-02-29T23:40:28Z,-0.58
1908-03-31T23:40:28Z,-0.46
1908-04-30T23:40:28Z,-0.4
1908-05-31T23:40:28Z,-0.39
1908-06-30T23:40:28Z,-0.35
1908-07-31T23:40:28Z,-0.45
1908-08-31T23:40:28Z,-0.33
1908-09-30T23:40:28Z,-0.43
1908-10-31T23:40:28Z,-0.51
1908-11-30T23:40:28Z,-0.5
1908-12-31T23:40:28Z,-0.7
1909-01-31T23:40:28Z,-0.47
1909-02-28T23:40:28Z,-0.52
1909-03-31T23:40:28Z,-0.59
1909-04-30T23:40:28Z,-0.54
1909-05-31T23:40:28Z,-0.52
1909-06-30T23:40:28Z,-0.43
1909-07-31T23:40:28Z,-0.3
1909-08-31T23:40:28Z,-0.37
1909-09-30T23:40:28Z,-0.39
1909-10-31T23:40:28Z,-0.31
1909-11-30T23:40:28Z,-0.55
1909-12-31T23:40:28Z,-0.44
1910-01-31T23:40:28Z,-0.43
1910-02-28T23:40:28Z,-0.47
1910-03-31T23:40:28Z,-0.39
1910-04-30T23:40:28Z,-0.34
1910-05-31T23:40:28Z,-0.36
1910-06-30T23:40:28Z,-0.31
1910-07-31T23:40:28Z,-0.34
1910-08-31T23:40:28Z,-0.37
1910-09-30T23:40:28Z,-0.39
1910-10-31T23:40:28Z,-0.56
1910-11-30T23:40:28Z,-0.69
1910-12-31T23:40:28Z,-0.64
1911-01-31T23:40:28Z,-0.6
1911-02-28T23:40:28Z,-0.62
1911-03-31T23:40:28Z,-0.55
1911-04-30T23:40:28Z,-0.51
1911-05-31T23:40:28Z,-0.47
1911-06-30T23:40:28Z,-0.41
1911-07-31T23:40:28Z,-0.43
1911-08-31T23:40:28Z,-0.38
1911-09-30T23:40:28Z,-0.26
1911-10-31T23:40:28Z,-0.2
1911-11-30T23:40:28Z,-0.25
1911-12-31T23:40:28Z,-0.27
1912-01-31T23:40:28Z,-0.13
1912-02-29T23:40:28Z,-0.37
1912-03-31T23:40:28Z,-0.2
1912-04-30T23:40:28Z,-0.2
1912-05-31T23:40:28Z,-0.26
1912-06-30T23:40:28Z,-0.41
1912-07-31T23:40:28Z,-0.51
1912-08-31T23:40:28Z,-0.47
1912-09-30T23:40:28Z,-0.55
1912-10-31T23:40:28Z,-0.38
1912-11-30T23:40:28Z,-0.42
